"county","year","month","month_name","mean_temp","total_precip"
"Baringo",1973,6,"Jun",24.0903854370117,55.2286148071289
"Baringo",1973,7,"Jul",22.7691707611084,105.317230224609
"Baringo",1973,8,"Aug",21.7905902862549,68.9928741455078
"Baringo",1973,9,"Sep",19.9830627441406,174.828384399414
"Baringo",1973,10,"Oct",19.5365562438965,235.282806396484
"Baringo",1973,11,"Nov",20.8733215332031,129.013778686523
"Baringo",1973,12,"Dec",22.4884738922119,19.0130920410156
"Baringo",1974,1,"Jan",21.2922134399414,79.2960968017578
"Baringo",1974,2,"Feb",22.0389289855957,6.7081708908081
"Baringo",1974,3,"Mar",22.7049598693848,9.52146053314209
"Baringo",1974,4,"Apr",23.9644584655762,1.58945393562317
"Baringo",1974,5,"May",22.5828838348389,137.986389160156
"Baringo",1974,6,"Jun",21.6544914245605,111.74585723877
"Baringo",1974,7,"Jul",21.841480255127,94.477165222168
"Baringo",1974,8,"Aug",21.3127861022949,62.5030288696289
"Baringo",1974,9,"Sep",19.3333301544189,181.713317871094
"Baringo",1974,10,"Oct",19.7909564971924,221.590805053711
"Baringo",1974,11,"Nov",20.9458103179932,54.4500007629395
"Baringo",1974,12,"Dec",22.9911727905273,31.0091972351074
"Baringo",1975,1,"Jan",22.309606552124,18.5213756561279
"Baringo",1975,2,"Feb",22.5685348510742,19.2250156402588
"Baringo",1975,3,"Mar",23.1315650939941,8.09337711334229
"Baringo",1975,4,"Apr",23.9300861358643,3.63580989837646
"Baringo",1975,5,"May",24.5041313171387,16.6748847961426
"Baringo",1975,6,"Jun",22.4527397155762,166.858749389648
"Baringo",1975,7,"Jul",21.640510559082,132.028335571289
"Baringo",1975,8,"Aug",19.9846305847168,199.034759521484
"Baringo",1975,9,"Sep",18.7512760162354,212.568298339844
"Baringo",1975,10,"Oct",18.587911605835,330.258087158203
"Baringo",1975,11,"Nov",19.2559547424316,210.897796630859
"Baringo",1975,12,"Dec",20.3118724822998,95.0451812744141
"Baringo",1976,1,"Jan",21.4444313049316,29.2147693634033
"Baringo",1976,2,"Feb",21.9514770507812,10.3697805404663
"Baringo",1976,3,"Mar",22.6298789978027,3.91893982887268
"Baringo",1976,4,"Apr",23.274377822876,8.16317176818848
"Baringo",1976,5,"May",24.2168388366699,7.27300930023193
"Baringo",1976,6,"Jun",22.5513973236084,104.049072265625
